Place,StateCode,County
abanda,al,chambers county
abbeville,al,henry county
adamsville,al,jefferson county
addison,al,winston county
akron,al,hale county
alabaster,al,shelby county
albertville,al,marshall county
alexander_city,al,tallapoosa county
alexandria,al,calhoun county
aliceville,al,pickens county
allgood,al,blount county
altoona,al,etowah county
andalusia,al,covington county
anderson,al,lauderdale county
anniston,al,calhoun county
arab,al,marshall county
ardmore,al,limestone county
argo,al,st. clair county
ariton,al,dale county
arley,al,winston county
ashford,al,houston county
ashland,al,clay county
ashville,al,st. clair county
athens,al,limestone county
atmore,al,escambia county
attalla,al,etowah county
auburn,al,lee county
autaugaville,al,autauga county
avon,al,houston county
axis,al,mobile county
babbie,al,covington county
baileyton,al,cullman county
bakerhill,al,barbour county
ballplay,al,etowah county
banks,al,pike county
bay_minette,al,baldwin county
bayou_la_batre,al,mobile county
bear_creek,al,marion county
beatrice,al,monroe county
beaverton,al,lamar county
belgreen,al,franklin county
belk,al,fayette county
bellamy,al,sumter county
belle_fontaine,al,mobile county
benton,al,lowndes county
berry,al,fayette county
bessemer,al,jefferson county
billingsley,al,autauga county
birmingham,al,jefferson county
black,al,geneva county
blountsville,al,blount county
blue_ridge,al,elmore county
blue_springs,al,barbour county
boaz,al,marshall county
boligee,al,greene county
bon_air,al,talladega county
boykin,al,wilcox county
brantley,al,crenshaw county
brantleyville,al,shelby county
brent,al,bibb county
brewton,al,escambia county
bridgeport,al,jackson county
brighton,al,jefferson county
brilliant,al,marion county
bristow_cove,al,etowah county
brook_highland,al,shelby county
brookside,al,jefferson county
brookwood,al,tuscaloosa county
broomtown,al,cherokee county
brundidge,al,pike county
butler,al,choctaw county
calera,al,shelby county
calvert,al,washington county
camden,al,wilcox county
camp_hill,al,tallapoosa county
carbon_hill,al,walker county
cardiff,al,jefferson county
carlisle-rockledge,al,etowah county
carlton,al,clarke county
carolina,al,covington county
carrollton,al,pickens county
castleberry,al,conecuh county
cedar_bluff,al,cherokee county
center_point,al,jefferson county
centre,al,cherokee county
centreville,al,bibb county
chatom,al,washington county
chelsea,al,shelby county
cherokee,al,colbert county
chickasaw,al,mobile county
childersburg,al,talladega county
choccolocco,al,calhoun county
chunchula,al,mobile county
citronelle,al,mobile county
clanton,al,chilton county
clay,al,jefferson county
clayhatchee,al,dale county
clayton,al,barbour county
cleveland,al,blount county
clio,al,barbour county
coaling,al,tuscaloosa county
coats_bend,al,etowah county
coffee_springs,al,geneva county
coffeeville,al,clarke county
coker,al,tuscaloosa county
collinsville,al,dekalb county
colony,al,cullman county
columbia,al,houston county
columbiana,al,shelby county
concord,al,jefferson county
coosada,al,elmore county
cordova,al,walker county
cottondale,al,tuscaloosa county
cottonwood,al,houston county
county_line,al,blount county
courtland,al,lawrence county
cowarts,al,houston county
creola,al,mobile county
crossville,al,dekalb county
cuba,al,sumter county
cullman,al,cullman county
cullomburg,al,choctaw county
cusseta,al,chambers county
dadeville,al,tallapoosa county
daleville,al,dale county
daphne,al,baldwin county
dauphin_island,al,mobile county
daviston,al,tallapoosa county
dayton,al,marengo county
deatsville,al,elmore county
decatur,al,morgan county
deer_park,al,washington county
delta,al,clay county
demopolis,al,marengo county
detroit,al,lamar county
dodge_city,al,cullman county
dora,al,walker county
dothan,al,houston county
double_springs,al,winston county
douglas,al,marshall county
dozier,al,crenshaw county
dunnavant,al,shelby county
dutton,al,jackson county
east_brewton,al,escambia county
east_point,al,cullman county
eclectic,al,elmore county
edgewater,al,jefferson county
edwardsville,al,cleburne county
egypt,al,etowah county
elba,al,coffee county
elberta,al,baldwin county
eldridge,al,walker county
elkmont,al,limestone county
elmore,al,elmore county
emelle,al,sumter county
emerald_mountain,al,elmore county
enterprise,al,coffee county
epes,al,sumter county
ethelsville,al,pickens county
eufaula,al,barbour county
eunola,al,geneva county
eutaw,al,greene county
eva,al,morgan county
evergreen,al,conecuh county
excel,al,monroe county
fairfield,al,jefferson county
fairford,al,washington county
fairhope,al,baldwin county
fairview,al,cullman county
falkville,al,morgan county
faunsdale,al,marengo county
fayette,al,fayette county
fayetteville,al,talladega county
fitzpatrick,al,bullock county
five_points,al,chambers county
flomaton,al,escambia county
florala,al,covington county
florence,al,lauderdale county
foley,al,baldwin county
forestdale,al,jefferson county
forkland,al,greene county
fort_deposit,al,lowndes county
fort_payne,al,dekalb county
fort_rucker,al,dale county
franklin,al,macon county
fredonia,al,chambers county
frisco_city,al,monroe county
fruitdale,al,washington county
fruithurst,al,cleburne county
fulton,al,clarke county
fultondale,al,jefferson county
fyffe,al,dekalb county
gadsden,al,etowah county
gainesville,al,sumter county
gallant,al,etowah county
gantt,al,covington county
garden_city,al,cullman county
gardendale,al,jefferson county
gaylesville,al,cherokee county
geiger,al,sumter county
geneva,al,geneva county
georgiana,al,butler county
geraldine,al,dekalb county
gilbertown,al,choctaw county
glen_allen,al,fayette county
glencoe,al,etowah county
glenwood,al,crenshaw county
goldville,al,tallapoosa county
good_hope,al,cullman county
goodwater,al,coosa county
gordo,al,pickens county
gordon,al,houston county
gordonville,al,lowndes county
goshen,al,pike county
graham,al,randolph county
grand_bay,al,mobile county
grant,al,marshall county
grayson_valley,al,jefferson county
graysville,al,jefferson county
greensboro,al,hale county
greenville,al,butler county
grimes,al,dale county
grove_hill,al,clarke county
guin,al,marion county
gulf_shores,al,baldwin county
gulfcrest,al,mobile county
guntersville,al,marshall county
gurley,al,madison county
gu-win,al,marion county
hackleburg,al,marion county
hackneyville,al,tallapoosa county
haleburg,al,henry county
haleyville,al,winston county
hamilton,al,marion county
hammondville,al,dekalb county
hanceville,al,cullman county
harpersville,al,shelby county
hartford,al,geneva county
hartselle,al,morgan county
harvest,al,madison county
hatton,al,lawrence county
hayden,al,blount county
hayneville,al,lowndes county
hazel_green,al,madison county
headland,al,henry county
heath,al,covington county
heflin,al,cleburne county
helena,al,shelby county
henagar,al,dekalb county
highland_lake,al,blount county
highland_lakes,al,shelby county
hillsboro,al,lawrence county
hissop,al,coosa county
hobson,al,washington county
hobson_city,al,calhoun county
hodges,al,franklin county
hokes_bluff,al,etowah county
hollins,al,clay county
hollis_crossroads,al,cleburne county
holly_pond,al,cullman county
hollywood,al,jackson county
holt,al,tuscaloosa county
holtville,al,elmore county
homewood,al,jefferson county
hoover,al,jefferson county
horn_hill,al,covington county
hueytown,al,jefferson county
huguley,al,chambers county
huntsville,al,madison county
hurtsboro,al,russell county
hytop,al,jackson county
ider,al,dekalb county
indian_springs_village,al,shelby county
irondale,al,jefferson county
ivalee,al,etowah county
jackson,al,clarke county
jacksons'_gap,al,tallapoosa county
jacksonville,al,calhoun county
jasper,al,walker county
jemison,al,chilton county
joppa,al,cullman county
kansas,al,walker county
kellyton,al,coosa county
kennedy,al,lamar county
killen,al,lauderdale county
kimberly,al,jefferson county
kinsey,al,houston county
kinston,al,coffee county
la_fayette,al,chambers county
ladonia,al,russell county
lake_view,al,tuscaloosa county
lakeview,al,dekalb county
lanett,al,chambers county
langston,al,jackson county
leeds,al,jefferson county
leesburg,al,cherokee county
leighton,al,colbert county
leroy,al,washington county
lester,al,limestone county
level_plains,al,dale county
lexington,al,lauderdale county
libertyville,al,covington county
lincoln,al,talladega county
linden,al,marengo county
lineville,al,clay county
lipscomb,al,jefferson county
lisman,al,choctaw county
littleville,al,colbert county
livingston,al,sumter county
loachapoka,al,lee county
lockhart,al,covington county
locust_fork,al,blount county
lookout_mountain,al,etowah county
louisville,al,barbour county
lowndesboro,al,lowndes county
loxley,al,baldwin county
luverne,al,crenshaw county
lynn,al,winston county
macedonia,al,pickens county
madison,al,madison county
madrid,al,houston county
magnolia_springs,al,baldwin county
malcolm,al,washington county
malvern,al,geneva county
maplesville,al,chilton county
marbury,al,autauga county
margaret,al,st. clair county
marion,al,perry county
maytown,al,jefferson county
mcdonald_chapel,al,jefferson county
mcintosh,al,washington county
mckenzie,al,butler county
mcmullen,al,pickens county
meadowbrook,al,shelby county
